Date,GRA Purchases,PRGT 1/2/,RST,Totals,Totals (Billions),Year
10/31/2022,"93,054,287,423","15,329,531,139",0,"108,383,818,562",108.3838186,2022
12/31/2021,"89,474,552,025","14,554,823,681",0,"104,029,375,706",104.0293757,2021
12/31/2020,"93,408,630,285","12,481,816,684",0,"105,890,446,969",105.890447,2020
12/31/2019,"66,945,509,865","6,590,835,450",0,"73,536,345,315",73.53634532,2019
12/31/2018,"55,395,611,392","6,426,181,029",0,"61,821,792,421",61.82179242,2018
12/31/2017,"39,585,385,873","6,522,280,669",0,"46,107,666,542",46.10766654,2017
12/31/2016,"49,267,630,851","6,482,647,937",0,"55,750,278,788",55.75027879,2016
12/31/2015,"50,757,840,741","6,575,911,158",0,"57,333,751,899",57.3337519,2015
12/31/2014,"69,041,563,463","6,292,755,583",0,"75,334,319,046",75.33431905,2014
12/31/2013,"83,899,249,061","6,174,392,682",0,"90,073,641,743",90.07364174,2013
12/31/2012,"90,042,348,252","5,766,292,503",0,"95,808,640,755",95.80864076,2012
12/31/2011,"87,276,915,790","5,308,609,594",0,"92,585,525,384",92.58552538,2011
12/31/2010,"55,620,104,510","4,819,344,134",0,"60,439,448,644",60.43944864,2010
12/31/2009,"37,221,142,436","5,079,705,286",0,"42,300,847,722",42.30084772,2009
12/31/2008,"17,514,964,723","3,972,372,030",0,"21,487,336,753",21.48733675,2008
12/31/2007,"6,036,146,757","3,796,945,581",0,"9,833,092,338",9.833092338,2007
12/31/2006,"9,822,640,239","3,844,020,520",0,"13,666,660,759",13.66666076,2006
12/31/2005,"28,432,143,237","6,282,121,668",0,"34,714,264,905",34.71426491,2005
12/31/2004,"55,373,766,674","6,766,029,353",0,"62,139,796,027",62.13979603,2004
12/31/2003,"65,032,062,712","6,880,893,268",0,"71,912,955,980",71.91295598,2003
12/31/2002,"63,601,058,794","6,868,671,012",0,"70,469,729,806",70.46972981,2002
12/31/2001,"53,477,225,409","6,424,578,684",0,"59,901,804,093",59.90180409,2001
12/31/2000,"42,990,531,049","6,331,595,468",0,"49,322,126,517",49.32212652,2000
12/31/1999,"51,061,861,875","6,434,274,362",0,"57,496,136,237",57.49613624,1999
12/31/1998,"60,451,017,051","6,288,825,925",0,"66,739,842,976",66.73984298,1998
12/31/1997,"46,559,033,783","6,009,867,422",0,"52,568,901,205",52.56890121,1997
12/31/1996,"36,127,472,805","5,881,609,752",0,"42,009,082,557",42.00908256,1996
12/31/1995,"35,929,173,412","5,657,438,528",0,"41,586,611,940",41.58661194,1995
12/31/1994,"25,611,676,952","4,599,768,498",0,"30,211,445,450",30.21144545,1994
12/31/1993,"25,196,745,031","3,942,792,899",0,"29,139,537,930",29.13953793,1993
12/31/1992,"23,967,172,718","3,804,463,796",0,"27,771,636,514",27.77163651,1992
12/31/1991,"23,378,573,926","3,285,717,796",0,"26,664,291,722",26.66429172,1991
12/31/1990,"20,731,851,093","2,571,911,617",0,"23,303,762,710",23.30376271,1990
12/31/1989,"22,315,104,224","2,334,886,562",0,"24,649,990,786",24.64999079,1989
12/31/1988,"24,750,004,884","1,773,964,293",0,"26,523,969,177",26.52396918,1988
12/31/1987,"28,751,979,125","1,866,342,930",0,"30,618,322,055",30.61832206,1987
12/31/1986,"33,334,905,644","2,013,169,931",0,"35,348,075,575",35.34807558,1986
12/31/1985,"35,194,787,249","2,470,247,948",0,"37,665,035,197",37.6650352,1985
12/31/1984,"34,936,772,393","2,769,874,900",0,"37,706,647,293",37.70664729,1984
